"","stimuliShown","group_1","buttonBox_2.started","cross_sel.started","cross_slow.started","dur_fix","dur_selection","perceptual_result","block","stim1","stim2","response","rt","reward","ID","stim_chosen","typeOfChoice","highChosen","riskChosen","forced","choices","win","correct","risky","trial","trial_cont","trial_id","trial_n","trigger_integer","buttonBox_2.keys","participant","left_rew_dbl","right_rew_dbl"
"1",21,"underestimator",50.7886059,"None","52.8667562",142,NA,"overestimator",1,"2","1",NA,NA,66,"sub-001",0,1,NA,NA,0,NA,1,NA,NA,1,1,1,1,21,"None","sub-001",54,66
"2",31,"underestimator",55.1638667,"None","56.8166404",121,NA,"overestimator",1,"3","1",NA,NA,59,"sub-001",0,2,0,NA,0,NA,NA,NA,NA,2,2,2,2,31,"None","sub-001",55,59
"3",23,"underestimator",59.3300436,"None","61.0043812",156,NA,"overestimator",1,"2","3",NA,NA,48,"sub-001",0,4,0,NA,0,NA,NA,NA,NA,3,3,3,3,23,"None","sub-001",59,48
"4",13,"underestimator",63.2370087,"64.295227","None",121,129,"overestimator",1,"1","3","1",0.9840647,59,"sub-001",3,2,0,NA,0,0,NA,0,NA,4,4,4,4,13,"1","sub-001",71,59
"5",13,"underestimator",67.7187641,"68.9246816","None",130,134,"overestimator",1,"1","3","0",1.1326143,63,"sub-001",1,2,1,NA,0,1,NA,1,NA,5,5,5,5,13,"0","sub-001",63,14
"6",43,"underestimator",72.6625048,"73.3452225","None",161,155,"overestimator",1,"4","3","1",0.608768,55,"sub-001",3,6,NA,1,0,0,-1,NA,1,6,6,6,6,43,"1","sub-001",46,55
"7",34,"underestimator",76.9365202,"78.1369356","None",123,122,"overestimator",1,"3","4","1",1.1309331,42,"sub-001",4,6,NA,0,0,0,-1,NA,0,7,7,7,7,34,"1","sub-001",72,42
"8",42,"underestimator",81.6830179,"82.9357685","None",151,120,"overestimator",1,"4","2","0",1.1826298,41,"sub-001",4,5,0,NA,0,1,NA,0,NA,8,8,8,8,42,"0","sub-001",41,52
"9",12,"underestimator",86.4589347,"87.1546475","None",150,160,"overestimator",1,"1","2","1",0.6281477,72,"sub-001",2,1,NA,0,0,0,1,NA,0,9,9,9,9,12,"1","sub-001",83,72
"10",12,"underestimator",91.1020402,"92.2623242","None",157,162,"overestimator",1,"1","2","1",1.0904238,55,"sub-001",2,1,NA,0,0,0,1,NA,0,10,10,10,10,12,"1","sub-001",70,55
"11",32,"underestimator",96.136634,"97.6570822","None",149,127,"overestimator",1,"3","2","1",1.4507693,64,"sub-001",2,4,1,NA,0,0,NA,1,NA,11,11,11,11,32,"1","sub-001",45,64
"12",21,"underestimator",101.4012483,"None","103.066506",169,NA,"overestimator",1,"2","1",NA,NA,53,"sub-001",0,1,NA,NA,0,NA,1,NA,NA,12,12,12,12,21,"None","sub-001",49,53
"13",34,"underestimator",105.5060559,"106.7707661","None",144,134,"overestimator",1,"3","4","0",1.1982601,29,"sub-001",3,6,NA,1,0,1,-1,NA,1,13,13,13,13,34,"0","sub-001",29,41
"14",34,"underestimator",110.2501471,"110.9187529","None",128,136,"overestimator",1,"3","4","1",0.5994522,38,"sub-001",4,6,NA,0,0,0,-1,NA,0,14,14,14,14,34,"1","sub-001",49,38
"15",32,"underestimator",114.5681515,"115.7934186","None",150,167,"overestimator",1,"3","2","1",1.1564967,53,"sub-001",2,4,1,NA,0,0,NA,1,NA,15,15,15,15,32,"1","sub-001",40,53
"16",32,"underestimator",119.6515361,"120.5602627","None",142,132,"overestimator",1,"3","2","1",0.8418594,64,"sub-001",2,4,1,NA,0,0,NA,1,NA,16,16,16,16,32,"1","sub-001",60,64
"17",42,"underestimator",124.3995549,"125.3231124","None",173,137,"overestimator",1,"4","2","1",0.8515357,61,"sub-001",2,5,1,NA,0,0,NA,1,NA,17,17,17,17,42,"1","sub-001",36,61
"18",43,"underestimator",128.9833635,"129.7161074","None",146,153,"overestimator",1,"4","3","0",0.6650493,44,"sub-001",4,6,NA,0,0,1,-1,NA,0,18,18,18,18,43,"0","sub-001",44,37
"19",14,"underestimator",133.4101915,"134.9114073","None",137,145,"overestimator",1,"1","4","0",1.4321454,64,"sub-001",1,3,1,NA,0,1,NA,1,NA,19,19,19,19,14,"0","sub-001",64,43
"20",34,"underestimator",138.7086178,"None","140.3634178",157,NA,"overestimator",1,"3","4",NA,NA,40,"sub-001",0,6,NA,NA,0,NA,-1,NA,NA,20,20,20,20,34,"None","sub-001",69,40
"21",32,"underestimator",142.8667966,"143.821113","None",153,154,"overestimator",1,"3","2","1",0.8826433,64,"sub-001",2,4,1,NA,0,0,NA,1,NA,21,21,21,21,32,"1","sub-001",47,64
"22",14,"underestimator",147.6664402,"None","149.3110069",154,NA,"overestimator",1,"1","4",NA,NA,42,"sub-001",0,3,0,NA,0,NA,NA,NA,NA,22,22,22,22,14,"None","sub-001",52,42
"23",43,"underestimator",151.9575488,"153.1011461","None",170,121,"overestimator",1,"4","3","1",1.0743156,21,"sub-001",3,6,NA,1,0,0,-1,NA,1,23,23,23,23,43,"1","sub-001",31,21
"24",13,"underestimator",156.7640936,"158.2396294","None",166,139,"overestimator",1,"1","3","0",1.4068935,50,"sub-001",1,2,1,NA,0,1,NA,1,NA,24,24,24,24,13,"0","sub-001",50,57
"25",24,"underestimator",161.7488459,"162.8747468","None",130,152,"overestimator",1,"2","4","0",1.0574537,62,"sub-001",2,5,1,NA,0,1,NA,1,NA,25,25,25,25,24,"0","sub-001",62,37
"26",43,"underestimator",166.582772,"167.523588","None",140,121,"overestimator",1,"4","3","0",0.8723956,42,"sub-001",4,6,NA,0,0,1,-1,NA,0,26,26,26,26,43,"0","sub-001",42,39
"27",32,"underestimator",170.9156565,"171.8755182","None",133,176,"overestimator",1,"3","2","1",0.8907312,57,"sub-001",2,4,1,NA,0,0,NA,1,NA,27,27,27,27,32,"1","sub-001",40,57
"28",43,"underestimator",176.1138465,"177.411018","None",179,134,"overestimator",1,"4","3","0",1.2279676,40,"sub-001",4,6,NA,0,0,1,-1,NA,0,28,28,28,28,43,"0","sub-001",40,42
"29",14,"underestimator",181.1567854,"182.3698528","None",159,137,"overestimator",1,"1","4","0",1.1422737,73,"sub-001",1,3,1,NA,0,1,NA,1,NA,29,29,29,29,14,"0","sub-001",73,45
