"","stimuliShown","stim1","stim2","pair_type","response","reward","ID","participant","stim_chosen","typeOfChoice","highChosen","riskChosen","forced","choices","win","correct","risky","trial","trial_cont","trial_id","block_soc","trial_n","trigger_integer","eye_choice","left_rew_dbl","right_rew_dbl"
"1",31,3,1,"different","1",44,"sub-003","sub-003",1,2,1,NA,0,0,NA,1,NA,1,1,1,"baseline",1,31,"1",51,44
"2",41,4,1,"different","0",40,"sub-003","sub-003",4,3,0,NA,0,1,NA,0,NA,6,6,6,"baseline",6,41,"0",40,50
"3",24,2,4,"different","1",48,"sub-003","sub-003",4,5,0,NA,0,0,NA,0,NA,7,7,7,"baseline",7,24,"1",63,48
"4",12,1,2,"both_high","1",60,"sub-003","sub-003",2,1,NA,0,0,0,1,NA,0,8,8,8,"baseline",8,12,"1",86,60
"5",21,2,1,"both_high","1",74,"sub-003","sub-003",1,1,NA,1,0,0,1,NA,1,9,9,9,"baseline",9,21,"1",69,74
"6",12,1,2,"both_high","1",66,"sub-003","sub-003",2,1,NA,0,0,0,1,NA,0,10,10,10,"baseline",10,12,"1",46,66
"7",12,1,2,"both_high","1",58,"sub-003","sub-003",2,1,NA,0,0,0,1,NA,0,11,11,11,"baseline",11,12,"1",63,58
"8",21,2,1,"both_high","0",52,"sub-003","sub-003",2,1,NA,0,0,1,1,NA,0,12,12,12,"baseline",12,21,"0",52,76
"9",41,4,1,"different","0",33,"sub-003","sub-003",4,3,0,NA,0,1,NA,0,NA,13,13,13,"baseline",13,41,"0",33,50
"10",32,3,2,"different","1",51,"sub-003","sub-003",2,4,1,NA,0,0,NA,1,NA,14,14,14,"baseline",14,32,"1",45,51
"11",13,1,3,"different","0",47,"sub-003","sub-003",1,2,1,NA,0,1,NA,1,NA,15,15,15,"baseline",15,13,"0",47,17
"12",34,3,4,"both_low","0",60,"sub-003","sub-003",3,6,NA,1,0,1,-1,NA,1,16,16,16,"baseline",16,34,"0",60,50
"13",23,2,3,"different","0",48,"sub-003","sub-003",2,4,1,NA,0,1,NA,1,NA,17,17,17,"baseline",17,23,"0",48,30
"14",23,2,3,"different","1",53,"sub-003","sub-003",3,4,0,NA,0,0,NA,0,NA,18,18,18,"baseline",18,23,"1",56,53
"15",14,1,4,"different","0",55,"sub-003","sub-003",1,3,1,NA,0,1,NA,1,NA,19,19,19,"baseline",19,14,"0",55,44
"16",12,1,2,"both_high","1",53,"sub-003","sub-003",2,1,NA,0,0,0,1,NA,0,20,20,20,"baseline",20,12,"1",36,53
"17",31,3,1,"different","1",40,"sub-003","sub-003",1,2,1,NA,0,0,NA,1,NA,21,21,21,"baseline",21,31,"1",45,40
"18",43,4,3,"both_low","0",47,"sub-003","sub-003",4,6,NA,0,0,1,-1,NA,0,22,22,22,"baseline",22,43,"0",47,27
"19",13,1,3,"different","1",48,"sub-003","sub-003",3,2,0,NA,0,0,NA,0,NA,23,23,23,"baseline",23,13,"1",75,48
"20",32,3,2,"different","0",32,"sub-003","sub-003",3,4,0,NA,0,1,NA,0,NA,24,24,24,"baseline",24,32,"0",32,65
"21",34,3,4,"both_low","1",44,"sub-003","sub-003",4,6,NA,0,0,0,-1,NA,0,25,25,25,"baseline",25,34,"1",47,44
"22",42,4,2,"different","1",69,"sub-003","sub-003",2,5,1,NA,0,0,NA,1,NA,26,26,26,"baseline",26,42,"1",52,69
