"","stimuliShown","stim1","stim2","pair_type","response","reward","ID","participant","stim_chosen","typeOfChoice","highChosen","riskChosen","forced","choices","win","correct","risky","block_soc","trial_n","trigger_integer","eye_choice","left_rew_dbl","right_rew_dbl"
"1",31,3,1,"different","1",44,1,"sub-003",1,2,1,NA,0,0,NA,1,NA,"baseline",1,31,"1",51,44
"2",31,3,1,"different","1",44,1,"sub-003",1,2,1,NA,0,0,NA,1,NA,"baseline",1,31,"1",51,44
"3",31,3,1,"different","1",44,1,"sub-003",1,2,1,NA,0,0,NA,1,NA,"baseline",1,31,"1",51,44
"4",31,3,1,"different","1",44,1,"sub-003",1,2,1,NA,0,0,NA,1,NA,"baseline",1,31,"1",51,44
"5",31,3,1,"different","1",44,1,"sub-003",1,2,1,NA,0,0,NA,1,NA,"baseline",1,31,"1",51,44
"6",41,4,1,"different","0",40,1,"sub-003",4,3,0,NA,0,1,NA,0,NA,"baseline",6,41,"0",40,50
"7",24,2,4,"different","1",48,1,"sub-003",4,5,0,NA,0,0,NA,0,NA,"baseline",7,24,"1",63,48
"8",12,1,2,"both_high","1",60,1,"sub-003",2,1,0,0,0,0,1,0,0,"baseline",8,12,"1",86,60
"9",21,2,1,"both_high","1",74,1,"sub-003",1,1,0,1,0,0,1,0,1,"baseline",9,21,"1",69,74
"10",12,1,2,"both_high","1",66,1,"sub-003",2,1,0,0,0,0,1,0,0,"baseline",10,12,"1",46,66
"11",12,1,2,"both_high","1",58,1,"sub-003",2,1,0,0,0,0,1,0,0,"baseline",11,12,"1",63,58
"12",21,2,1,"both_high","0",52,1,"sub-003",2,1,0,0,0,1,1,0,0,"baseline",12,21,"0",52,76
"13",41,4,1,"different","0",33,1,"sub-003",4,3,0,0,0,1,1,0,0,"baseline",13,41,"0",33,50
"14",32,3,2,"different","1",51,1,"sub-003",2,4,1,0,0,0,1,1,0,"baseline",14,32,"1",45,51
"15",13,1,3,"different","0",47,1,"sub-003",1,2,1,0,0,1,1,1,0,"baseline",15,13,"0",47,17
"16",34,3,4,"both_low","0",60,1,"sub-003",3,6,1,1,0,1,-1,1,1,"baseline",16,34,"0",60,50
"17",23,2,3,"different","0",48,1,"sub-003",2,4,1,1,0,1,-1,1,1,"baseline",17,23,"0",48,30
"18",23,2,3,"different","1",53,1,"sub-003",3,4,0,1,0,0,-1,0,1,"baseline",18,23,"1",56,53
"19",14,1,4,"different","0",55,1,"sub-003",1,3,1,1,0,1,-1,1,1,"baseline",19,14,"0",55,44
"20",12,1,2,"both_high","1",53,1,"sub-003",2,1,1,0,0,0,1,1,0,"baseline",20,12,"1",36,53
"21",31,3,1,"different","1",40,1,"sub-003",1,2,1,0,0,0,1,1,0,"baseline",21,31,"1",45,40
"22",43,4,3,"both_low","0",47,1,"sub-003",4,6,1,0,0,1,-1,1,0,"baseline",22,43,"0",47,27
"23",13,1,3,"different","1",48,1,"sub-003",3,2,0,0,0,0,-1,0,0,"baseline",23,13,"1",75,48
"24",32,3,2,"different","0",32,1,"sub-003",3,4,0,0,0,1,-1,0,0,"baseline",24,32,"0",32,65
"25",34,3,4,"both_low","1",44,1,"sub-003",4,6,0,0,0,0,-1,0,0,"baseline",25,34,"1",47,44
"26",42,4,2,"different","1",69,1,"sub-003",2,5,1,0,0,0,-1,1,0,"baseline",26,42,"1",52,69
"27",13,1,3,"different","0",29,1,"sub-003",1,2,1,0,0,1,-1,1,0,"baseline",27,13,"0",29,44
"28",14,1,4,"different","1",35,1,"sub-003",4,3,0,0,0,0,-1,0,0,"baseline",28,14,"1",84,35
"29",42,4,2,"different","0",35,1,"sub-003",4,5,0,0,0,1,-1,0,0,"baseline",29,42,"0",35,57
"30",14,1,4,"different","1",39,1,"sub-003",4,3,0,0,0,0,-1,0,0,"baseline",30,14,"1",79,39
"31",24,2,4,"different","1",49,1,"sub-003",4,5,0,0,0,0,-1,0,0,"baseline",31,24,"1",70,49
"32",14,1,4,"different","1",38,1,"sub-003",4,3,0,0,0,0,-1,0,0,"baseline",32,14,"1",38,38
"33",21,2,1,"both_high","0",62,1,"sub-003",2,1,0,0,0,1,1,0,0,"baseline",33,21,"0",62,60
"34",34,3,4,"both_low","0",37,1,"sub-003",3,6,0,1,0,1,-1,0,1,"baseline",34,34,"0",37,34
"35",23,2,3,"different","1",30,1,"sub-003",3,4,0,1,0,0,-1,0,1,"baseline",35,23,"1",59,30
"36",34,3,4,"both_low","1",31,1,"sub-003",4,6,0,0,0,0,-1,0,0,"baseline",36,34,"1",43,31
"37",13,1,3,"different","0",68,1,"sub-003",1,2,1,0,0,1,-1,1,0,"baseline",37,13,"0",68,29
"38",31,3,1,"different","1",89,1,"sub-003",1,2,1,0,0,0,-1,1,0,"baseline",38,31,"1",57,89
"39",13,1,3,"different","1",58,1,"sub-003",3,2,0,0,0,0,-1,0,0,"baseline",39,13,"1",43,58
