"","left","right","left_selected","right_selected","right_rew_dbl","left_rew_dbl","stim1","stim2","trigger_integer","block","trial_n","trial_id","right_rew","left_rew","typeOfChoice","correct"
"1","p_4.png","y_4.png","p_4_d.png","y_4_d.png",21,61,2,3,23,4,1,541,"2 1","6 1",4,0
"2","p_4.png","g_4.png","p_4_d.png","g_4_d.png",33,70,2,4,24,4,2,542,"3 3","7 0",5,0
"3","p_4.png","y_4.png","p_4_d.png","y_4_d.png",48,65,2,3,23,4,3,543,"4 8","6 5",4,0
"4","y_4.png","p_4.png","y_4_d.png","p_4_d.png",57,42,3,2,32,4,4,544,"5 7","4 2",4,1
"5","g_4.png","y_4.png","g_4_d.png","y_4_d.png",34,31,4,3,43,4,5,545,"3 4","3 1",6,NA
"6","y_4.png","b_4.png","y_4_d.png","b_4_d.png",61,14,3,1,31,4,6,546,"6 1","1 4",2,1
"7","g_4.png","p_4.png","g_4_d.png","p_4_d.png",52,49,4,2,42,4,7,547,"5 2","4 9",5,1
"8","p_4.png","g_4.png","p_4_d.png","g_4_d.png",32,57,2,4,24,4,8,548,"3 2","5 7",5,0
"9","b_4.png","y_4.png","b_4_d.png","y_4_d.png",54,68,1,3,13,4,9,549,"5 4","6 8",2,0
"10","g_4.png","p_4.png","g_4_d.png","p_4_d.png",69,38,4,2,42,4,10,550,"6 9","3 8",5,1
"11","b_4.png","g_4.png","b_4_d.png","g_4_d.png",30,60,1,4,14,4,11,551,"3 0","6 0",3,0
"12","y_4.png","b_4.png","y_4_d.png","b_4_d.png",80,69,3,1,31,4,12,552,"8 0","6 9",2,1
"13","g_4.png","b_4.png","g_4_d.png","b_4_d.png",55,43,4,1,41,4,13,553,"5 5","4 3",3,1
"14","g_4.png","p_4.png","g_4_d.png","p_4_d.png",53,40,4,2,42,4,14,554,"5 3","4 0",5,1
"15","p_4.png","g_4.png","p_4_d.png","g_4_d.png",42,57,2,4,24,4,15,555,"4 2","5 7",5,0
